project_id,project_name,slug,project_path,tier,resolved_status,target_journal,portfolio_priority,ops_readiness_score,citation_readiness_score,workflow_readiness_score,recommended_license,source_paper_signal,source_protocol_signal,existing_pages_url,deposit_state,rewrite_workbook_source,rewrite_present,rewrite_valid,rewrite_word_count,rewrite_sentence_count,rewrite_matches_current,rewrite_status,publish_now,e156_body_status,protocol_status,dashboard_status,code_release_status,mit_license_status,github_status,pages_status,pdf_status,synthesis_status,source_article_path,github_repo_url,github_pages_url,paper_pdf_path,synthesis_article_url,notes,last_updated
16,MetaSprint Autopilot,metasprint-autopilot-16,C:\Projects\metasprint-autopilot\,Tier 3,Submission ready,,high,86,95,95,CC-BY-4.0,yes,yes,https://mahmood726-cyber.github.io/portfolio-catalog/projects/metasprint-autopilot-16.html,institutional-draft-ready,C:\E156\rewrite-workbook.txt,yes,yes,154,7,no,rewritten,yes,ready,draft,draft,ready,missing,missing,draft,pending,not-configured,C:\E156\rewrite-workbook.txt,,,,,,
17,MetaSprint DTA,metasprint-dta-17,C:\Projects\metasprint-dta\,Tier 3,Submission ready,,high,86,95,95,CC-BY-4.0,yes,yes,https://mahmood726-cyber.github.io/portfolio-catalog/projects/metasprint-dta-17.html,institutional-draft-ready,C:\E156\rewrite-workbook.txt,yes,yes,150,7,no,rewritten,yes,ready,draft,draft,ready,missing,missing,draft,pending,not-configured,C:\E156\rewrite-workbook.txt,,,,,,
ext-models-methodssuite,MethodsSuite,models-methodssuite,C:\Models\MethodsSuite,Workbook-only,External E156 repo,E156,high,100,100,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,146,7,no,rewritten,yes,ready,ready,ready,ready,planned,published,missing,pending,not-configured,C:\Models\MethodsSuite\e156-submission\paper.json,methodssuite,,,,Workbook-only project discovered from the C drive scan.,
ext-projects-mlm501,MLM501,projects-mlm501,C:\Projects\MLM501,Workbook-only,External E156 repo,E156,high,100,100,100,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,145,7,no,rewritten,yes,ready,ready,ready,ready,ready,published,missing,pending,not-configured,C:\Projects\MLM501\e156-submission\paper.json,MLM501,,,,Workbook-only project discovered from the C drive scan.,
ext-projects-multilevelerror,Multilevelerror,projects-multilevelerror,C:\Projects\Multilevelerror,Workbook-only,External E156 repo,E156,high,100,100,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,128,7,no,rewritten,yes,ready,ready,ready,ready,planned,published,missing,pending,not-configured,C:\Projects\Multilevelerror\e156-submission\paper.json,multilevelerror,,,,Workbook-only project discovered from the C drive scan.,
ext-projects-multipledatameta,Multipledatameta,projects-multipledatameta,C:\Projects\Multipledatameta,Workbook-only,External E156 repo,E156,high,100,100,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,132,7,no,rewritten,yes,ready,ready,ready,ready,planned,published,missing,pending,not-configured,C:\Projects\Multipledatameta\e156-submission\paper.json,Multipledatameta,,,,Workbook-only project discovered from the C drive scan.,
38,MultiverseMA,multiversema-38,C:\Models\MultiverseMA\,Tier 5,Submission ready,,high,75,95,90,MIT,yes,yes,https://mahmood726-cyber.github.io/portfolio-catalog/projects/multiversema-38.html,institutional-draft-ready,C:\E156\rewrite-workbook.txt,yes,yes,141,7,no,rewritten,yes,ready,draft,draft,ready,planned,missing,draft,pending,not-configured,C:\E156\rewrite-workbook.txt,,,,,,
ext-projects-my-python-project,my-python-project,projects-my-python-project,C:\Projects\my-python-project,Workbook-only,External E156 repo,E156,high,100,100,100,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,147,7,no,rewritten,yes,ready,ready,ready,ready,ready,missing,missing,pending,not-configured,C:\Projects\my-python-project\e156-submission\paper.json,,,,,Workbook-only project discovered from the C drive scan.,
12,NMA apps,nma-apps-12,C:\HTML apps\NMAhtml\,Tier 2,Archived,,high,86,95,95,MIT,yes,yes,https://mahmood726-cyber.github.io/portfolio-catalog/projects/nma-apps-12.html,institutional-draft-ready,C:\E156\rewrite-workbook.txt,yes,yes,156,7,no,rewritten,yes,ready,draft,draft,ready,planned,missing,draft,not-needed,not-configured,C:\E156\rewrite-workbook.txt,,,,,,
ext-projects-nmapaper111025,nmapaper111025,projects-nmapaper111025,C:\Projects\nmapaper111025,Workbook-only,External E156 repo,E156,high,100,100,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,155,7,no,rewritten,yes,ready,ready,ready,ready,planned,missing,missing,pending,not-configured,C:\Projects\nmapaper111025\e156-submission\paper.json,,,,,Workbook-only project discovered from the C drive scan.,
ext-models-nntmapper,NNTMapper,models-nntmapper,C:\Models\NNTMapper,Workbook-only,External E156 repo,E156,high,100,100,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,152,7,no,rewritten,yes,ready,ready,ready,ready,planned,published,missing,pending,not-configured,C:\Models\NNTMapper\e156-submission\paper.json,nntmapper,,,,Workbook-only project discovered from the C drive scan.,
40a,OutcomeReportingBias,outcomereportingbias-40a,C:\OutcomeReportingBias\,Tier 5,Submission ready,,high,86,95,95,CC-BY-4.0,yes,yes,https://mahmood726-cyber.github.io/portfolio-catalog/projects/outcomereportingbias-40a.html,institutional-draft-ready,C:\E156\rewrite-workbook.txt,yes,yes,153,7,no,rewritten,yes,ready,draft,draft,ready,missing,missing,draft,pending,not-configured,C:\E156\rewrite-workbook.txt,,,,,,
40b,OverlapDetector,overlapdetector-40b,C:\OverlapDetector\,Tier 5,Submission ready,,high,86,95,95,CC-BY-4.0,yes,yes,https://mahmood726-cyber.github.io/portfolio-catalog/projects/overlapdetector-40b.html,institutional-draft-ready,C:\E156\rewrite-workbook.txt,yes,no,149,8,no,rewriting,yes,missing,draft,draft,ready,missing,missing,draft,pending,not-configured,C:\E156\rewrite-workbook.txt,,,,,,
ext-models-overlapmatrix,OverlapMatrix,models-overlapmatrix,C:\Models\OverlapMatrix,Workbook-only,External E156 repo,E156,high,100,100,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,156,7,no,rewritten,yes,ready,ready,ready,ready,planned,published,missing,pending,not-configured,C:\Models\OverlapMatrix\e156-submission\paper.json,overlapmatrix,,,,Workbook-only project discovered from the C drive scan.,
ext-projects-pairwise70,Pairwise70,projects-pairwise70,C:\Projects\Pairwise70,Workbook-only,External E156 repo,E156,high,100,100,100,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,155,7,no,rewritten,yes,ready,ready,ready,ready,ready,published,missing,pending,not-configured,C:\Projects\Pairwise70\e156-submission\paper.json,Pairwise70,,,,Workbook-only project discovered from the C drive scan.,
40c,PredictionGap,predictiongap-40c,C:\PredictionGap\,Tier 5,Submission ready,,high,88,95,95,CC-BY-4.0,yes,yes,https://mahmood726-cyber.github.io/portfolio-catalog/projects/predictiongap-40c.html,institutional-draft-ready,C:\E156\rewrite-workbook.txt,yes,yes,137,7,no,rewritten,yes,ready,draft,draft,ready,missing,missing,draft,pending,not-configured,C:\E156\rewrite-workbook.txt,,,,,,
ext-models-prismaflow,PRISMAFlow,models-prismaflow,C:\Models\PRISMAFlow,Workbook-only,External E156 repo,E156,high,100,100,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,136,7,no,rewritten,yes,ready,ready,ready,ready,planned,published,missing,pending,not-configured,C:\Models\PRISMAFlow\e156-submission\paper.json,prismaflow,,,,Workbook-only project discovered from the C drive scan.,
ext-projects-prognostic-meta,prognostic-meta,projects-prognostic-meta,C:\Projects\prognostic-meta,Workbook-only,External E156 repo,E156,high,100,100,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,154,7,no,rewritten,yes,ready,ready,ready,ready,planned,missing,missing,pending,not-configured,C:\Projects\prognostic-meta\e156-submission\paper.json,,,,,Workbook-only project discovered from the C drive scan.,
ext-e156-releases-reduced-dose-doacs-vte-demo,reduced-dose-doacs-vte-demo,e156-releases-reduced-dose-doacs-vte-demo,C:\E156\releases\reduced-dose-doacs-vte-demo,Workbook-only,External E156 repo,E156,high,100,100,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,146,7,no,rewritten,yes,ready,ready,ready,ready,planned,missing,missing,pending,not-configured,C:\E156\releases\reduced-dose-doacs-vte-demo\e156-submission\paper.json,,,,,Workbook-only project discovered from the C drive scan.,
ext-projects-registry-first-rct-meta,registry_first_rct_meta,projects-registry-first-rct-meta,C:\Projects\registry_first_rct_meta,Workbook-only,External E156 repo,E156,high,100,100,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,152,7,no,rewritten,yes,ready,ready,ready,ready,planned,published,missing,pending,not-configured,C:\Projects\registry_first_rct_meta\e156-submission\paper.json,registry-first-rct-meta,,,,Workbook-only project discovered from the C drive scan.,
ext-models-robma,ROBMA,models-robma,C:\Models\ROBMA,Workbook-only,External E156 repo,E156,high,100,100,100,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,146,7,no,rewritten,yes,ready,ready,ready,ready,ready,published,missing,pending,not-configured,C:\Models\ROBMA\e156-submission\paper.json,robma,,,,Workbook-only project discovered from the C drive scan.,
58,Shahzaib ICU,shahzaib-icu-58,C:\Models\shahzaib-icu-landscape\,Tier 9,Submission ready,,high,84,95,95,MIT,yes,yes,https://mahmood726-cyber.github.io/portfolio-catalog/projects/shahzaib-icu-58.html,institutional-draft-ready,C:\E156\rewrite-workbook.txt,yes,yes,141,7,no,rewritten,yes,ready,draft,draft,ready,planned,missing,draft,pending,not-configured,C:\E156\rewrite-workbook.txt,,,,,,
ext-models-sheafnma,SheafNMA,models-sheafnma,C:\Models\SheafNMA,Workbook-only,External E156 repo,E156,high,100,100,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,155,7,no,rewritten,yes,ready,ready,ready,ready,planned,published,missing,pending,not-configured,C:\Models\SheafNMA\e156-submission\paper.json,sheaf-nma,,,,Workbook-only project discovered from the C drive scan.,
ext-models-softable,SoFTable,models-softable,C:\Models\SoFTable,Workbook-only,External E156 repo,E156,high,100,100,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,144,7,no,rewritten,yes,ready,ready,ready,ready,planned,published,missing,pending,not-configured,C:\Models\SoFTable\e156-submission\paper.json,softable,,,,Workbook-only project discovered from the C drive scan.,
29,SYNTHESIS (FATIHA),synthesis-fatiha-29,C:\Models\FATIHA_Project\,Tier 4,Submission ready,,high,88,95,95,MIT,yes,yes,https://mahmood726-cyber.github.io/portfolio-catalog/projects/synthesis-fatiha-29.html,institutional-draft-ready,C:\E156\rewrite-workbook.txt,no,no,,,no,not-started,yes,missing,draft,draft,ready,planned,missing,draft,pending,not-configured,,,,,,,
ext-models-tda-ma,TDA_MA,models-tda-ma,C:\Models\TDA_MA,Workbook-only,External E156 repo,E156,high,100,100,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,147,7,no,rewritten,yes,ready,ready,ready,ready,planned,published,missing,pending,not-configured,C:\Models\TDA_MA\e156-submission\paper.json,tda-ma,,,,Workbook-only project discovered from the C drive scan.,
ext-models-tgep-development,TGEP_Development,models-tgep-development,C:\Models\TGEP_Development,Workbook-only,External E156 repo,E156,high,100,100,100,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,137,7,no,rewritten,yes,ready,ready,ready,ready,ready,published,missing,pending,not-configured,C:\Models\TGEP_Development\e156-submission\paper.json,tgep,,,,Workbook-only project discovered from the C drive scan.,
ext-models-transportabilitycalc,TransportabilityCalc,models-transportabilitycalc,C:\Models\TransportabilityCalc,Workbook-only,External E156 repo,E156,high,100,100,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,156,7,no,rewritten,yes,ready,ready,ready,ready,planned,missing,missing,pending,not-configured,C:\Models\TransportabilityCalc\e156-submission\paper.json,,,,,Workbook-only project discovered from the C drive scan.,
8,TruthCert PairwisePro,truthcert-pairwisepro-8,C:\HTML apps\Truthcert1_work\,Tier 2,Maintained,,high,86,85,85,MIT,yes,yes,https://mahmood726-cyber.github.io/portfolio-catalog/projects/truthcert-pairwisepro-8.html,awaiting-release,C:\E156\rewrite-workbook.txt,yes,yes,138,7,no,rewritten,yes,ready,draft,draft,ready,planned,missing,draft,not-needed,not-configured,C:\E156\rewrite-workbook.txt,,,,,,
ext-models-truthcert-denominator-phase1,truthcert-denominator-phase1,models-truthcert-denominator-phase1,C:\Models\truthcert-denominator-phase1,Workbook-only,External E156 repo,E156,high,100,100,100,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,146,7,no,rewritten,yes,ready,ready,ready,ready,ready,published,missing,pending,not-configured,C:\Models\truthcert-denominator-phase1\e156-submission\paper.json,truthcert-denominator,,,,Workbook-only project discovered from the C drive scan.,
ext-models-truthcert-meta2-prototype,truthcert-meta2-prototype,models-truthcert-meta2-prototype,C:\Models\truthcert-meta2-prototype,Workbook-only,External E156 repo,E156,high,100,100,100,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,152,7,no,rewritten,yes,ready,ready,ready,ready,ready,published,missing,pending,not-configured,C:\Models\truthcert-meta2-prototype\e156-submission\paper.json,truthcert-meta2,,,,Workbook-only project discovered from the C drive scan.,
ext-html-apps-truthcert1,Truthcert1,html-apps-truthcert1,C:\HTML apps\Truthcert1,Workbook-only,External E156 repo,E156,high,100,100,100,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,153,7,no,rewritten,yes,ready,ready,ready,ready,ready,published,missing,pending,not-configured,C:\HTML apps\Truthcert1\e156-submission\paper.json,truthcert1,,,,Workbook-only project discovered from the C drive scan.,
ext-models-tsa,TSA,models-tsa,C:\Models\TSA,Workbook-only,External E156 repo,E156,high,40,85,20,MIT,no,no,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,153,7,no,rewritten,yes,ready,missing,missing,ready,planned,missing,missing,pending,not-configured,C:\E156\rewrite-workbook.txt,,,,,Workbook-only project discovered from the C drive scan.,
106::ubcma-106,UBCMA,ubcma-106,C:\ubcma\,Tier 4,Active,,high,86,95,95,CC-BY-4.0,yes,yes,https://mahmood726-cyber.github.io/portfolio-catalog/projects/ubcma-106.html,institutional-draft-ready,C:\E156\rewrite-workbook.txt,yes,yes,153,7,no,rewritten,yes,ready,draft,draft,ready,missing,missing,draft,pending,not-configured,C:\E156\rewrite-workbook.txt,,,,,,
ext-models-umbrellareview,UmbrellaReview,models-umbrellareview,C:\Models\UmbrellaReview,Workbook-only,External E156 repo,E156,high,100,100,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,152,7,no,rewritten,yes,ready,ready,ready,ready,planned,published,missing,pending,not-configured,C:\Models\UmbrellaReview\e156-submission\paper.json,umbrellareview,,,,Workbook-only project discovered from the C drive scan.,
51,Value-Based HTA,value-based-hta-51,C:\Models\Value_Based_HTA_Engine\,Tier 7,Submission ready,,high,92,95,95,MIT,yes,yes,https://mahmood726-cyber.github.io/portfolio-catalog/projects/value-based-hta-51.html,institutional-draft-ready,C:\E156\rewrite-workbook.txt,yes,yes,156,7,no,rewritten,yes,ready,draft,draft,ready,planned,missing,draft,pending,not-configured,C:\E156\rewrite-workbook.txt,,,,,,
ext-models-voicalculator,VOICalculator,models-voicalculator,C:\Models\VOICalculator,Workbook-only,External E156 repo,E156,high,100,100,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,155,7,no,rewritten,yes,ready,ready,ready,ready,planned,published,missing,pending,not-configured,C:\Models\VOICalculator\e156-submission\paper.json,voicalculator,,,,Workbook-only project discovered from the C drive scan.,
23,501MLM,501mlm-23,C:\Projects\501MLM\,Tier 4,Shipped,,medium,82,95,90,CC-BY-4.0,yes,yes,https://mahmood726-cyber.github.io/portfolio-catalog/projects/501mlm-23.html,institutional-draft-ready,C:\E156\rewrite-workbook.txt,yes,yes,131,7,no,rewritten,yes,ready,draft,draft,ready,missing,missing,draft,not-needed,not-configured,C:\E156\rewrite-workbook.txt,,,,,,
ext-projects-advanced-nma-pooling,advanced-nma-pooling,projects-advanced-nma-pooling,C:\Projects\advanced-nma-pooling,Workbook-only,External E156 repo,E156,medium,100,55,100,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,no,no,,,no,rewritten,yes,ready,ready,ready,ready,ready,published,missing,pending,not-configured,C:\Projects\advanced-nma-pooling\e156-submission\paper.json,advanced-nma-pooling,,,,Workbook-only project discovered from the C drive scan.,
ext-projects-area1-small-sample-analysis,area1_small_sample_analysis,projects-area1-small-sample-analysis,C:\Projects\area1_small_sample_analysis,Workbook-only,External E156 repo,E156,medium,20,40,20,MIT,no,no,,Not indexed,C:\E156\rewrite-workbook.txt,no,no,,,no,not-started,no,missing,missing,missing,draft,planned,missing,missing,not-needed,not-configured,,,,,,Workbook-only project discovered from the C drive scan.,
63,Asa,asa-63,C:\Models\Asa\,Tier 10,Review,,medium,75,95,90,MIT,yes,yes,https://mahmood726-cyber.github.io/portfolio-catalog/projects/asa-63.html,institutional-draft-ready,C:\E156\rewrite-workbook.txt,yes,yes,150,7,no,rewritten,yes,ready,draft,draft,ready,planned,missing,draft,pending,not-configured,C:\E156\rewrite-workbook.txt,,,,,,
ext-projects-asreview-5star,asreview_5star,projects-asreview-5star,C:\Projects\asreview_5star,Workbook-only,External E156 repo,E156,medium,20,40,20,MIT,no,no,,Not indexed,C:\E156\rewrite-workbook.txt,no,no,,,no,not-started,no,missing,missing,missing,draft,planned,missing,missing,not-needed,not-configured,,,,,,Workbook-only project discovered from the C drive scan.,
ext-users-user-authorshipledger,AuthorshipLedger,users-user-authorshipledger,C:\Users\user\AuthorshipLedger,Workbook-only,External E156 repo,E156,medium,100,55,100,MIT,yes,yes,https://mahmood726-cyber.github.io/authorship-ledger/,Not indexed,C:\E156\rewrite-workbook.txt,no,no,,,no,rewritten,yes,ready,ready,ready,ready,ready,published,published,pending,not-configured,C:\Users\user\AuthorshipLedger\e156-submission\paper.json,https://github.com/mahmood726-cyber/authorship-ledger,https://mahmood726-cyber.github.io/authorship-ledger/,,,Workbook-only project discovered from the C drive scan.,
54,AutoGRADE,autograde-54,C:\Projects\AutoGRADE\,Tier 7,Shipped,,medium,82,95,90,CC-BY-4.0,yes,yes,https://mahmood726-cyber.github.io/portfolio-catalog/projects/autograde-54.html,institutional-draft-ready,C:\E156\rewrite-workbook.txt,yes,yes,136,7,no,rewritten,yes,ready,draft,draft,ready,missing,missing,draft,not-needed,not-configured,C:\E156\rewrite-workbook.txt,,,,,,
109,Bayesian MA,bayesian-ma-109,C:\Models\BayesianMA\,Tier 10,Active,,medium,75,95,90,MIT,yes,yes,https://mahmood726-cyber.github.io/portfolio-catalog/projects/bayesian-ma-109.html,institutional-draft-ready,C:\E156\rewrite-workbook.txt,yes,yes,156,7,no,rewritten,yes,ready,draft,draft,ready,planned,missing,draft,pending,not-configured,C:\E156\rewrite-workbook.txt,,,,,,
107::benfordma-107,BenfordMA,benfordma-107,C:\BenfordMA\,Tier 10,Active,,medium,75,95,90,CC-BY-4.0,yes,yes,https://mahmood726-cyber.github.io/portfolio-catalog/projects/benfordma-107.html,institutional-draft-ready,C:\E156\rewrite-workbook.txt,yes,yes,142,7,no,rewritten,yes,ready,draft,draft,ready,planned,missing,draft,pending,not-configured,C:\E156\rewrite-workbook.txt,,,,,,
5,Bias Forensics,bias-forensics-5,C:\BiasForensics\,Tier 1,Active,Research Synthesis Methods,medium,81,100,100,MIT,yes,yes,https://mahmood726-cyber.github.io/portfolio-catalog/projects/bias-forensics-5.html,institutional-draft-ready,C:\E156\rewrite-workbook.txt,yes,yes,151,7,no,rewritten,yes,ready,draft,draft,ready,planned,missing,draft,pending,not-configured,C:\E156\rewrite-workbook.txt,,,,,,
ext-projects-cardio-ctgov-living-meta-portfolio,cardio-ctgov-living-meta-portfolio,projects-cardio-ctgov-living-meta-portfolio,C:\Projects\cardio-ctgov-living-meta-portfolio,Workbook-only,External E156 repo,E156,medium,100,55,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,no,no,,,no,rewritten,yes,ready,ready,ready,ready,planned,missing,missing,pending,not-configured,C:\Projects\cardio-ctgov-living-meta-portfolio\e156-submission\paper.json,,,,,Workbook-only project discovered from the C drive scan.,
ext-projects-cbamm-project2,cbamm-project2,projects-cbamm-project2,C:\Projects\cbamm-project2,Workbook-only,External E156 repo,E156,medium,20,40,20,MIT,no,no,,Not indexed,C:\E156\rewrite-workbook.txt,no,no,,,no,not-started,no,missing,missing,missing,draft,planned,missing,missing,not-needed,not-configured,,,,,,Workbook-only project discovered from the C drive scan.,
ext-users-user-citationworkbench,CitationWorkbench,users-user-citationworkbench,C:\Users\user\CitationWorkbench,Workbook-only,External E156 repo,E156,medium,100,55,100,MIT,yes,yes,https://mahmood726-cyber.github.io/citation-workbench/,Not indexed,C:\E156\rewrite-workbook.txt,no,no,,,no,rewritten,yes,ready,ready,ready,ready,ready,published,published,pending,not-configured,C:\Users\user\CitationWorkbench\e156-submission\paper.json,https://github.com/mahmood726-cyber/citation-workbench,https://mahmood726-cyber.github.io/citation-workbench/,,,Workbook-only project discovered from the C drive scan.,
ext-projects-claude-rct-work,claude-rct-work,projects-claude-rct-work,C:\Projects\claude-rct-work,Workbook-only,External E156 repo,E156,medium,20,40,20,MIT,no,no,,Not indexed,C:\E156\rewrite-workbook.txt,no,no,,,no,not-started,no,missing,missing,missing,draft,planned,missing,missing,not-needed,not-configured,,,,,,Workbook-only project discovered from the C drive scan.,
74,Clinic Site,clinic-site-74,C:\Projects\clinic-site\,Tier 11,Shipped,,medium,84,95,95,CC-BY-4.0,yes,yes,https://mahmood726-cyber.github.io/portfolio-catalog/projects/clinic-site-74.html,institutional-draft-ready,C:\E156\rewrite-workbook.txt,no,no,,,no,not-started,no,missing,draft,draft,ready,missing,missing,draft,not-needed,not-configured,,,,,,,
ext-e156-releases-clinical-ma,clinical-ma,e156-releases-clinical-ma,C:\E156\releases\clinical-ma,Workbook-only,External E156 repo,E156,medium,100,55,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,no,no,,,no,not-started,no,ready,ready,ready,ready,planned,missing,missing,not-needed,not-configured,C:\E156\releases\clinical-ma\e156-submission\paper.json,,,,,Workbook-only project discovered from the C drive scan.,
43,CochraneDataExtractor,cochranedataextractor-43,C:\Projects\CochraneDataExtractor\,Tier 6,Active,,medium,63,65,60,CC-BY-4.0,no,no,https://mahmood726-cyber.github.io/portfolio-catalog/projects/cochranedataextractor-43.html,awaiting-release,C:\E156\rewrite-workbook.txt,no,no,,,no,not-started,yes,missing,missing,draft,ready,missing,missing,draft,pending,not-configured,,,,,,,
ext-models-conformalma,ConformalMA,models-conformalma,C:\Models\ConformalMA,Workbook-only,External E156 repo,E156,medium,100,55,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,no,no,,,no,not-started,no,ready,ready,ready,ready,planned,published,missing,not-needed,not-configured,C:\Models\ConformalMA\e156-submission\paper.json,conformal-ma,,,,Workbook-only project discovered from the C drive scan.,
ext-projects-ctgov-actual-discipline-repeaters,ctgov-actual-discipline-repeaters,projects-ctgov-actual-discipline-repeaters,C:\Projects\ctgov-actual-discipline-repeaters,Workbook-only,External E156 repo,E156,medium,100,55,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,no,no,,,no,rewritten,yes,ready,ready,ready,ready,planned,missing,missing,pending,not-configured,C:\Projects\ctgov-actual-discipline-repeaters\e156-submission\paper.md,,,,,Workbook-only project discovered from the C drive scan.,
ext-projects-ctgov-black-box-sponsor-repeaters,ctgov-black-box-sponsor-repeaters,projects-ctgov-black-box-sponsor-repeaters,C:\Projects\ctgov-black-box-sponsor-repeaters,Workbook-only,External E156 repo,E156,medium,100,55,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,no,no,,,no,rewritten,yes,ready,ready,ready,ready,planned,missing,missing,pending,not-configured,C:\Projects\ctgov-black-box-sponsor-repeaters\e156-submission\paper.md,,,,,Workbook-only project discovered from the C drive scan.,
ext-projects-ctgov-black-box-trials,ctgov-black-box-trials,projects-ctgov-black-box-trials,C:\Projects\ctgov-black-box-trials,Workbook-only,External E156 repo,E156,medium,100,55,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,no,no,,,no,rewritten,yes,ready,ready,ready,ready,planned,missing,missing,pending,not-configured,C:\Projects\ctgov-black-box-trials\e156-submission\paper.md,,,,,Workbook-only project discovered from the C drive scan.,
ext-projects-ctgov-cardiovascular-hiddenness,ctgov-cardiovascular-hiddenness,projects-ctgov-cardiovascular-hiddenness,C:\Projects\ctgov-cardiovascular-hiddenness,Workbook-only,External E156 repo,E156,medium,100,55,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,no,no,,,no,not-started,no,draft,ready,ready,ready,planned,missing,missing,not-needed,not-configured,C:\Projects\ctgov-cardiovascular-hiddenness\e156-submission\paper.md,,,,,Workbook-only project discovered from the C drive scan.,
ext-projects-ctgov-completion-cohort-debt,ctgov-completion-cohort-debt,projects-ctgov-completion-cohort-debt,C:\Projects\ctgov-completion-cohort-debt,Workbook-only,External E156 repo,E156,medium,100,55,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,no,no,,,no,not-started,no,draft,ready,ready,ready,planned,missing,missing,not-needed,not-configured,C:\Projects\ctgov-completion-cohort-debt\e156-submission\paper.md,,,,,Workbook-only project discovered from the C drive scan.,
ext-projects-ctgov-completion-timing-repeaters,ctgov-completion-timing-repeaters,projects-ctgov-completion-timing-repeaters,C:\Projects\ctgov-completion-timing-repeaters,Workbook-only,External E156 repo,E156,medium,100,55,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,no,no,,,no,rewritten,yes,ready,ready,ready,ready,planned,missing,missing,pending,not-configured,C:\Projects\ctgov-completion-timing-repeaters\e156-submission\paper.md,,,,,Workbook-only project discovered from the C drive scan.,
ext-projects-ctgov-condition-ancient-backlog,ctgov-condition-ancient-backlog,projects-ctgov-condition-ancient-backlog,C:\Projects\ctgov-condition-ancient-backlog,Workbook-only,External E156 repo,E156,medium,100,55,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,no,no,,,no,rewritten,yes,ready,ready,ready,ready,planned,missing,missing,pending,not-configured,C:\Projects\ctgov-condition-ancient-backlog\e156-submission\paper.md,,,,,Workbook-only project discovered from the C drive scan.,
ext-projects-ctgov-condition-description-black-box,ctgov-condition-description-black-box,projects-ctgov-condition-description-black-box,C:\Projects\ctgov-condition-description-black-box,Workbook-only,External E156 repo,E156,medium,100,55,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,no,no,,,no,rewritten,yes,ready,ready,ready,ready,planned,missing,missing,pending,not-configured,C:\Projects\ctgov-condition-description-black-box\e156-submission\paper.md,,,,,Workbook-only project discovered from the C drive scan.,
ext-projects-ctgov-condition-enrollment-gap,ctgov-condition-enrollment-gap,projects-ctgov-condition-enrollment-gap,C:\Projects\ctgov-condition-enrollment-gap,Workbook-only,External E156 repo,E156,medium,100,55,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,no,no,,,no,rewritten,yes,ready,ready,ready,ready,planned,missing,missing,pending,not-configured,C:\Projects\ctgov-condition-enrollment-gap\e156-submission\paper.md,,,,,Workbook-only project discovered from the C drive scan.,
